.threshold,recall,precision,outcome,taxlevel,metric,dataset,trainfrac,method,seed
Inf,0,1,idsa,OTU,AUC,full,0.8,rf,100
0.548,0,0,idsa,OTU,AUC,full,0.8,rf,100
0.546,0.0136986301369863,0.5,idsa,OTU,AUC,full,0.8,rf,100
0.532,0.0273972602739726,0.6666666666666666,idsa,OTU,AUC,full,0.8,rf,100
0.51,0.0410958904109589,0.75,idsa,OTU,AUC,full,0.8,rf,100
0.502,0.0547945205479452,0.6666666666666666,idsa,OTU,AUC,full,0.8,rf,100
0.49,0.0547945205479452,0.5714285714285714,idsa,OTU,AUC,full,0.8,rf,100
0.478,0.0684931506849315,0.625,idsa,OTU,AUC,full,0.8,rf,100
0.474,0.0821917808219178,0.6,idsa,OTU,AUC,full,0.8,rf,100
0.468,0.1095890410958904,0.6666666666666666,idsa,OTU,AUC,full,0.8,rf,100
0.466,0.1232876712328767,0.6428571428571429,idsa,OTU,AUC,full,0.8,rf,100
0.458,0.136986301369863,0.625,idsa,OTU,AUC,full,0.8,rf,100
0.456,0.1506849315068493,0.6470588235294118,idsa,OTU,AUC,full,0.8,rf,100
0.45,0.1506849315068493,0.55,idsa,OTU,AUC,full,0.8,rf,100
0.446,0.1643835616438356,0.5714285714285714,idsa,OTU,AUC,full,0.8,rf,100
0.444,0.1917808219178082,0.56,idsa,OTU,AUC,full,0.8,rf,100
0.442,0.2054794520547945,0.5357142857142857,idsa,OTU,AUC,full,0.8,rf,100
0.44,0.2054794520547945,0.5172413793103449,idsa,OTU,AUC,full,0.8,rf,100
0.436,0.2191780821917808,0.5,idsa,OTU,AUC,full,0.8,rf,100
0.432,0.2191780821917808,0.4705882352941176,idsa,OTU,AUC,full,0.8,rf,100
0.43,0.2328767123287671,0.4722222222222222,idsa,OTU,AUC,full,0.8,rf,100
0.428,0.2465753424657534,0.47368421052631576,idsa,OTU,AUC,full,0.8,rf,100
0.424,0.273972602739726,0.5,idsa,OTU,AUC,full,0.8,rf,100
0.42,0.3287671232876712,0.5217391304347826,idsa,OTU,AUC,full,0.8,rf,100
0.418,0.3287671232876712,0.4897959183673469,idsa,OTU,AUC,full,0.8,rf,100
0.416,0.3424657534246575,0.4807692307692308,idsa,OTU,AUC,full,0.8,rf,100
0.414,0.3424657534246575,0.46296296296296297,idsa,OTU,AUC,full,0.8,rf,100
0.412,0.3561643835616438,0.4642857142857143,idsa,OTU,AUC,full,0.8,rf,100
0.41,0.3835616438356164,0.4745762711864407,idsa,OTU,AUC,full,0.8,rf,100
0.408,0.410958904109589,0.4838709677419355,idsa,OTU,AUC,full,0.8,rf,100
0.404,0.410958904109589,0.47619047619047616,idsa,OTU,AUC,full,0.8,rf,100
0.402,0.4246575342465753,0.4626865671641791,idsa,OTU,AUC,full,0.8,rf,100
0.4,0.4383561643835616,0.463768115942029,idsa,OTU,AUC,full,0.8,rf,100
0.398,0.4383561643835616,0.4507042253521127,idsa,OTU,AUC,full,0.8,rf,100
0.396,0.4383561643835616,0.4383561643835616,idsa,OTU,AUC,full,0.8,rf,100
0.394,0.4657534246575342,0.44155844155844154,idsa,OTU,AUC,full,0.8,rf,100
0.39,0.4794520547945205,0.44871794871794873,idsa,OTU,AUC,full,0.8,rf,100
0.388,0.4794520547945205,0.4268292682926829,idsa,OTU,AUC,full,0.8,rf,100
0.386,0.5068493150684932,0.43023255813953487,idsa,OTU,AUC,full,0.8,rf,100
0.384,0.5068493150684932,0.4204545454545454,idsa,OTU,AUC,full,0.8,rf,100
0.38,0.5205479452054794,0.4175824175824176,idsa,OTU,AUC,full,0.8,rf,100
0.378,0.5205479452054794,0.4130434782608696,idsa,OTU,AUC,full,0.8,rf,100
0.376,0.547945205479452,0.42105263157894735,idsa,OTU,AUC,full,0.8,rf,100
0.374,0.547945205479452,0.4166666666666667,idsa,OTU,AUC,full,0.8,rf,100
0.372,0.547945205479452,0.404040404040404,idsa,OTU,AUC,full,0.8,rf,100
0.37,0.5753424657534246,0.4117647058823529,idsa,OTU,AUC,full,0.8,rf,100
0.368,0.589041095890411,0.4134615384615384,idsa,OTU,AUC,full,0.8,rf,100
0.36,0.589041095890411,0.4095238095238095,idsa,OTU,AUC,full,0.8,rf,100
0.358,0.6027397260273972,0.41509433962264153,idsa,OTU,AUC,full,0.8,rf,100
0.356,0.6027397260273972,0.4074074074074074,idsa,OTU,AUC,full,0.8,rf,100
0.354,0.6301369863013698,0.4144144144144144,idsa,OTU,AUC,full,0.8,rf,100
0.352,0.6438356164383562,0.415929203539823,idsa,OTU,AUC,full,0.8,rf,100
0.35,0.6438356164383562,0.412280701754386,idsa,OTU,AUC,full,0.8,rf,100
0.348,0.6438356164383562,0.408695652173913,idsa,OTU,AUC,full,0.8,rf,100
0.346,0.6575342465753424,0.41025641025641024,idsa,OTU,AUC,full,0.8,rf,100
0.342,0.6712328767123288,0.4117647058823529,idsa,OTU,AUC,full,0.8,rf,100
0.34,0.7123287671232876,0.41935483870967744,idsa,OTU,AUC,full,0.8,rf,100
0.338,0.726027397260274,0.424,idsa,OTU,AUC,full,0.8,rf,100
0.336,0.7397260273972602,0.4251968503937008,idsa,OTU,AUC,full,0.8,rf,100
0.332,0.7397260273972602,0.4186046511627907,idsa,OTU,AUC,full,0.8,rf,100
0.33,0.7397260273972602,0.4153846153846154,idsa,OTU,AUC,full,0.8,rf,100
0.328,0.7671232876712328,0.42105263157894735,idsa,OTU,AUC,full,0.8,rf,100
0.326,0.7808219178082192,0.4130434782608696,idsa,OTU,AUC,full,0.8,rf,100
0.324,0.7808219178082192,0.4100719424460432,idsa,OTU,AUC,full,0.8,rf,100
0.318,0.7808219178082192,0.40425531914893614,idsa,OTU,AUC,full,0.8,rf,100
0.316,0.7945205479452054,0.4,idsa,OTU,AUC,full,0.8,rf,100
0.314,0.7945205479452054,0.3945578231292517,idsa,OTU,AUC,full,0.8,rf,100
0.308,0.7945205479452054,0.38926174496644295,idsa,OTU,AUC,full,0.8,rf,100
0.306,0.8082191780821918,0.38562091503267976,idsa,OTU,AUC,full,0.8,rf,100
0.302,0.821917808219178,0.379746835443038,idsa,OTU,AUC,full,0.8,rf,100
