cv_metric_AUC,logLoss,AUC,prAUC,Accuracy,Kappa,F1,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,Detection_Rate,Balanced_Accuracy,method,seed,outcome,taxlevel,metric,dataset,trainfrac
0.590373943240954,0.614868599831408,0.642864082386088,0.613918752651543,0.663551401869159,0.0428624673872528,0.793103448275862,0.978723404255319,0.0547945205479452,0.666666666666667,0.571428571428571,0.666666666666667,0.978723404255319,0.644859813084112,0.516758962401632,rf,100,idsa,OTU,AUC,full,0.8
0.615944595180955,0.637079368818081,0.571262022733897,0.554627606187851,0.644859813084112,-0.00184797338918342,0.0731707317073171,0.0410958904109589,0.957446808510638,0.333333333333334,0.658536585365854,0.333333333333333,0.0410958904109589,0.014018691588785,0.499271349460799,rf,101,idsa,OTU,AUC,full,0.8
0.564580715845673,0.597778272560352,0.720343923054503,0.688625108175741,0.677570093457944,0.0788521522145977,0.802292263610315,0.99290780141844,0.0684931506849315,0.673076923076923,0.833333333333333,0.673076923076923,0.99290780141844,0.654205607476635,0.530700476051686,rf,102,idsa,OTU,AUC,full,0.8
0.602744680068952,0.624406967685335,0.607305936073059,0.5861283986687,0.668224299065421,0.0440417767711086,0.0779220779220779,0.0410958904109589,0.99290780141844,0.75,0.666666666666667,0.75,0.0410958904109589,0.014018691588785,0.517001845914699,rf,103,idsa,OTU,AUC,full,0.8
0.589882461803634,0.619889545646128,0.627999611386379,0.590110635799645,0.658878504672897,0.0254522769806613,0.0759493670886076,0.0410958904109589,0.978723404255319,0.5,0.663461538461539,0.5,0.0410958904109589,0.014018691588785,0.509909647333139,rf,104,idsa,OTU,AUC,full,0.8
0.626830079739855,0.645346293898306,0.541435927329253,0.524089603202077,0.644859813084112,-0.027675976241628,NA,0,0.978723404255319,0,0.654028436018957,0,0,0,0.48936170212766,rf,105,idsa,OTU,AUC,full,0.8
0.623738911107092,0.650695946616561,0.536918293986204,0.524694814140752,0.654205607476635,0.00789374765067008,0.788571428571429,0.978723404255319,0.0273972602739726,0.660287081339713,0.4,0.660287081339713,0.978723404255319,0.644859813084112,0.503060332264646,rf,106,idsa,OTU,AUC,full,0.8
0.605333763168677,0.630077318577565,0.596181871174585,0.579928912585333,0.668224299065421,0.0440417767711086,0.0779220779220779,0.0410958904109589,0.99290780141844,0.75,0.666666666666667,0.75,0.0410958904109589,0.014018691588785,0.517001845914699,rf,107,idsa,OTU,AUC,full,0.8
0.612877028385342,0.636166133044239,0.583260468279413,0.552210004252695,0.668224299065421,0.0601261907707535,0.795389048991355,0.978723404255319,0.0684931506849315,0.669902912621359,0.625,0.669902912621359,0.978723404255319,0.644859813084112,0.523608277470125,rf,108,idsa,OTU,AUC,full,0.8
0.58877914454031,0.610171112592583,0.672787331195958,0.626321970732739,0.668224299065421,0.0601261907707535,0.795389048991355,0.978723404255319,0.0684931506849315,0.669902912621359,0.625,0.669902912621359,0.978723404255319,0.644859813084112,0.523608277470125,rf,109,idsa,OTU,AUC,full,0.8
